ID,Ciudad,Estado,C.P,Dirección
"Dirección Local Guanajuato - Carretera Irapuato - Salamanca No. 5690 Ex Hacienda de Buenavista, C.P. 36542, Irapuato, Guanajuato.",Irapuato,Guanajuato,36542,"Carretera Irapuato - Salamanca No. 5690 Ex Hacienda de Buenavista, C.P. 36542, Irapuato, Guanajuato."
"Dirección Local Guanajuato - Dom. Conocido En El Km. 4.250 de la Carretera Entronque San Miguel de Allende-Celaya a la Ciudad de Guanajuato, C.P. 37898, Celaya, Guanajuato.",Celaya,Guanajuato,37898,"Dom. Conocido En El Km. 4.250 de la Carretera Entronque San Miguel de Allende-Celaya a la Ciudad de Guanajuato, C.P. 37898, Celaya, Guanajuato."
"Dirección Local Guanajuato - Dom. Conocido En Instalaciones de la Presa Solís, Km. 7 de la Carretera Acámbaro-Jerécuaro, C.P. 38750, Acámbaro, Guanajuato.",Acámbaro,Guanajuato,38750,"Dom. Conocido En Instalaciones de la Presa Solís, Km. 7 de la Carretera Acámbaro-Jerécuaro, C.P. 38750, Acámbaro, Guanajuato."
"Dirección Local Guanajuato - Domicilio Conocido Al Noroeste de las Comunidades del ""Zangarro"" y Al Noreste de ""San José de Llanos"", San José de Llanos, Guanajuato.",San José de Llanos,Guanajuato,SCP,"Domicilio Conocido Al Noroeste de las Comunidades del ""Zangarro"" y Al Noreste de ""San José de Llanos"", San José de Llanos, Guanajuato."
"Dirección Local Guanajuato - Plaza Hidalgo No. 1-A, Edif. Copieg, Col. Centro, C.P. 36000, Guanajuato, Guanajuato.",Guanajuato,Guanajuato,36000,"Plaza Hidalgo No. 1-A, Edif. Copieg, Col. Centro, C.P. 36000, Guanajuato, Guanajuato."
"Dirección Local Guerrero - Aeropuerto de Chilpancingo. Autopista del Sol Km. 218, a Un Costado del Hangar, C.P. 39016, Chilpancingo, Guerrero.",Chilpancingo,Guerrero,39016,"Aeropuerto de Chilpancingo. Autopista del Sol Km. 218, a Un Costado del Hangar, C.P. 39016, Chilpancingo, Guerrero."
"Dirección Local Guerrero - Aeropuerto Internacional de Acapulco, Juan N. Álvarez, C.P. 39931, Acapulco, Guerrero.",Acapulco,Guerrero,39931,"Aeropuerto Internacional de Acapulco, Juan N. Álvarez, C.P. 39931, Acapulco, Guerrero."
"Dirección Local Guerrero - Av. Rey Irepán No. 11001, Oriente, Col. Vicente Guerrero, C.P. 40662, Altamirano, Guerrero.",Altamirano,Guerrero,40662,"Av. Rey Irepán No. 11001, Oriente, Col. Vicente Guerrero, C.P. 40662, Altamirano, Guerrero."
"Dirección Local Guerrero - Av. Ruffo Figueroa No. 2, Col Burócratas. C.P. 39090. Chilpancingo, Guerrero.",Chilpancingo,Guerrero,39090,"Av. Ruffo Figueroa No. 2, Col Burócratas. C.P. 39090. Chilpancingo, Guerrero."
"Dirección Local Guerrero - Av. Sur No.1 Col. Insurgentes, C.P. 40030, Iguala de la Independencia, Guerrero.",Iguala de la Independencia,Guerrero,40030,"Av. Sur No.1 Col. Insurgentes, C.P. 40030, Iguala de la Independencia, Guerrero."
